Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận 1, Hồ Chí Minh, Việt Nam",07/01/2003,31.1,24.1,26.6,,39.3,1,,,18,177.89,,10.3,80.4,90.41,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/02/2003,33.1,24.1,28.2,,42.3,0,,,21.6,110,,10.8,56.7,83.45,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/03/2003,33.1,24.1,28.3,,42.3,0,,,21.6,120.91,,9.5,53.3,84.4,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/04/2003,33.1,24.1,27.1,,40.7,2.5,,,10.8,126.92,,8.5,63.3,89.66,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/05/2003,29.1,24.1,26.3,,35.8,2,,,18,113.13,,10.6,73.3,92.28,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/06/2003,32.1,24.1,27.8,,40.8,18,,,21.6,143.64,,10,68.3,85.51,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/07/2003,32.1,24.1,28,,39.3,0.5,,,18,171.43,,10.5,54.3,84.71,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/08/2003,33.1,24.1,27.5,,42.3,14,,,21.6,202.11,,9.8,48.3,87.3,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/09/2003,33.1,24.1,27.5,,40.8,0,,,25.2,228.67,,9.8,70.9,88.11,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/10/2003,33.1,24.1,27.3,,42.3,1.5,,,14.4,292,,8.2,75,89.37,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/11/2003,32.1,23.1,26.9,,42.5,4.1,,,21.6,208.13,,10.8,66.7,91.54,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/12/2003,33.1,23.1,27.3,,39.4,0,,,28.8,246.47,,10.8,51.7,83.31,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/13/2003,34.1,23.1,27.6,,43.7,6.1,,,18,165,,10.5,58.7,86.75,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/14/2003,32.1,24.1,28.3,,42.5,0.8,,,14.4,180.77,,10.5,46.7,86.17,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/15/2003,33.1,24.1,29.1,,42.3,0,,,14.4,195.38,,11,50,83.27,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/16/2003,33.1,25.1,28.1,,44,3,,,21.6,213.85,,10.7,72.9,87.89,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/17/2003,34.1,24.1,29.2,,43.7,0.8,,,18,181.18,,9.7,62.2,82.48,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/18/2003,33.1,23.1,27.7,,44,15,,,21.6,204.67,,9.6,68.3,89.43,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/19/2003,34.1,24.1,27.8,,45.5,7.1,,,21.6,237.78,,10.5,78.7,89.72,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/20/2003,32.1,23.1,27.3,,42.5,1,,,32.4,241.9,,11,68.8,87.87,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/21/2003,32.1,26.1,27.6,,42.5,0,,,36,225.83,,11,71.7,91.58,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/22/2003,31.1,24.1,26.6,,39.3,7.9,,,32.4,231.67,,10.7,86.7,92.53,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/23/2003,27.1,23.1,25.2,,31.4,8.1,,,36,240.42,,10.5,92.5,95.57,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/24/2003,29.1,23.1,25.3,,37,9.4,,,18,221.11,,10.2,93.3,97.38,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/25/2003,28.1,22.1,25.1,,33.7,14,,,14.4,188.89,,9.3,85,97.22,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",07/26/2003,33.1,23.1,27.6,,42.3,1,,,18,242.78,,10.8,58.3,87.06,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/27/2003,33.1,26.1,28.5,,44,0,,,10.8,244.29,,10.6,61.7,87.83,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",07/28/2003,31.1,24.1,26.5,,40.8,23.1,,,18,192.17,,9.8,70,95.72,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/29/2003,31.1,24.1,26.2,,40.8,1,,,28.8,198.33,,9.1,62.2,94.42,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/30/2003,32.1,24.1,27.2,,42.5,2,,,18,239.55,,10.1,47.4,92,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",07/31/2003,33.1,24.1,28.8,,42.3,0,,,14.4,252.61,,10.5,39.6,84.16,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/01/2003,33.1,25.1,29.2,,42.3,0,,,21.6,249.58,,10.9,40.8,84.99,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/02/2003,32.1,24.1,27.8,,42.6,5.1,,,18,251.74,,10.6,88.3,92.72,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",08/03/2003,31.1,24.1,27.3,,40.8,9.9,,,21.6,246.09,,10.4,74.3,92.62,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/04/2003,31.1,24.1,25.6,,40.8,48.1,,,36,222.5,,10.3,85.4,96.38,"Rain, Overcast"
"Quận 1, Hồ Chí Minh, Việt Nam",08/05/2003,32.1,24.1,27.2,,40.8,0.5,,,28.8,225.42,,11,60,89.64,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/06/2003,32.1,25.1,27.3,,40.8,4,,,28.8,238.75,,11,66.7,89.22,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/07/2003,32.1,24.1,27.2,,42.5,18,,,32.4,237.14,,10.7,66.7,92.54,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/08/2003,33.1,26.1,28.6,,44,0,,,25.2,231.67,,10.3,70,90.39,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/09/2003,34.1,26.1,28.9,,45.5,0.5,,,21.6,238.75,,10.9,46.7,86.78,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/10/2003,34.1,26.1,28.8,,45.5,0,,,21.6,234.58,,9.8,51.7,89.18,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/11/2003,33.1,26.1,29,,44,0,,,28.8,236.25,,9.7,51.7,87,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/12/2003,33.1,26.1,29.2,,44,0,,,21.6,228.75,,10.9,57.5,86.89,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/13/2003,34.1,26.1,28.9,,45.5,0,,,21.6,207.08,,10.9,43.3,86.69,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/14/2003,35.1,26.1,29.6,,46.9,2,,,21.6,206.84,,10.3,46.7,86.23,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/15/2003,34.1,26.1,28,,43.7,7.1,,,21.6,214.76,,10.7,67.3,90.7,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/16/2003,33.1,24.1,27.1,,44,66,,,18,158.95,,10.2,58.7,93.32,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/17/2003,33.1,25.1,27.6,,42.3,6.1,,,18,195.5,,10.1,62.5,90.63,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",08/18/2003,32.1,24.1,27.1,,40.8,0,,,28.8,210.5,,11,74.3,90.36,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",08/19/2003,30.1,23.1,25.3,,37.6,10.9,,,28.8,231.67,,10.3,80,95.07,"Rain, Overcast"
