Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận 1, Hồ Chí Minh, Việt Nam",01/01/2020,34.5,22,28.6,,33.9,0,,,18.4,73.05,,9.8,30.8,57.55,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/02/2020,35.1,23,28.8,,36.4,0,,,16.2,94.13,,9.7,35.1,61.25,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/03/2020,34,23.6,28.5,,34.9,0,,,12.8,138.1,,10.2,32.6,63.69,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/04/2020,33,23.6,27.7,,33.8,0,,,13,125.55,,10,37.5,68.38,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/05/2020,32.5,22.6,27.2,,33,0,,,11.9,186.53,,9.9,24.6,67.15,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",01/06/2020,33.4,23,27.9,,34.2,0,,,13,128.91,,9.2,34.7,66.63,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/07/2020,34.6,24,29.4,,36.2,0,,,14,111.45,,9.6,44.1,62.88,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/08/2020,34.6,25,28.8,,37,0,,,13.4,103.9,,9.5,42.7,71.23,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/09/2020,34.8,23.6,28.4,,36.6,0,,,18.8,122.24,,9.6,30.9,67.07,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/10/2020,34,23.6,28.7,,35.7,0,,,15.8,134.39,,10.1,28,63.51,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/11/2020,32,24,27.9,,34.7,0,,,14.8,224.2,,8.6,40.4,74.8,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/12/2020,31.8,24.4,27.4,,35.1,10,,,17.3,187.82,,8.9,51.7,77.17,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/13/2020,34,23,27.6,,33.3,0,,,16.9,112.75,,9.3,30.8,65.92,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/14/2020,33.6,23,27,,33.1,0,,,20.2,203.72,,8.7,24.3,63.8,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",01/15/2020,34,21.6,27.5,,33.4,0,,,18.4,106,,9.4,24.2,61.94,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",01/16/2020,34,22.6,28.1,,34.5,0,,,14.8,146,,7.5,36.4,67.43,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/17/2020,34,24.3,28.2,,34.9,0,,,18.4,115.14,,8.1,38.5,68.02,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/18/2020,31.9,23.6,27.2,,34.4,0,,,18.4,173.85,,7.9,38.9,71.5,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/19/2020,33.6,23,27.8,,34.7,0,,,19.6,117.33,,9.1,32,65.65,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/20/2020,34,23,28.4,,35.7,0,,,17.6,157.68,,9.6,28,62.9,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/21/2020,35.4,25,29.4,,36,0,,,19.2,122.87,,9.9,30.5,57.37,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/22/2020,33.8,24,28.9,,36.3,0,,,16.9,119.61,,10.3,35.5,60.65,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/23/2020,34,25,29,,34.7,0,,,17.3,125.29,33.5,10.3,42.4,51.86,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/24/2020,34.6,23,28.4,,34,0,,,18.8,119.05,,10.3,28.9,55.54,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/25/2020,33.4,24.6,28.1,,35.2,0,,,21.3,143.39,,10.1,32.3,67.6,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/26/2020,33.4,24,27.8,,35.1,0,,,17.6,143.86,,10.3,36.4,73.24,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/27/2020,32,24.9,27.4,,34.2,0,,,21.2,143.5,,10.3,42.7,74.27,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/28/2020,32,24,27.2,,33.7,0,,,18.4,143.96,,10.3,45.9,72.53,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/29/2020,32.6,23.9,27.4,,35.5,0,,,18.8,137.42,,10.3,45.9,73,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/30/2020,33,24,27.7,,34.6,0,,,16.6,201.65,,10.2,48.6,71.03,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/31/2020,31,23,26.9,,33.1,0,,,15.5,141.55,,9.7,50.2,69.1,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/01/2020,31.4,24,27.2,,32.3,0,,,15.4,145.82,,10,49,59.04,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/02/2020,31.6,22,26.5,,32,0,,,13.1,174.43,,9.3,35.8,64,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/03/2020,33,21.4,27,,32.1,0,,,19.2,103.59,,9.5,36.1,60.94,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/04/2020,34.6,22,27.6,,32.9,0,,,23.4,114.09,,10,31.6,60.13,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/05/2020,33.6,22,27.6,,33.2,0,,,17.6,117.73,,10,30.3,57.42,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/06/2020,32,22.2,27,,31.6,0,,,17.6,130.5,,10.3,23.7,50.31,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",02/07/2020,34.4,22.6,27.7,,32.6,0,,,17.6,109.45,,9.8,14.9,56.71,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",02/08/2020,34.4,22,27.8,,34.9,0,,,15.8,156.05,,10.1,39.1,63.12,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/09/2020,31.8,25,28.5,,33.4,0,,,15.1,53.55,,10.1,51.5,54.52,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/10/2020,32.9,23,27.8,,33,0,,,13,135.64,,10.1,45.6,54.91,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/11/2020,34.9,23,29,,36.5,0,,,23.4,116.46,35.3,10.3,43.4,60.22,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/12/2020,34.9,26,29.6,,36.3,0,,,23.4,121.58,37.1,10.3,35.2,58.09,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/13/2020,35.2,25.6,29,,38,0,,,20.9,140.48,,10.3,30,68.07,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/14/2020,32.1,25,27.8,,35.3,0,,,16.6,153.75,,10.3,46.2,73.57,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/15/2020,32.4,24.9,28.2,,35.1,0,,,20.9,154.58,44.6,10.3,41.3,69.02,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/16/2020,34.6,24,28.8,,38,0,,,17.3,160.13,,10.3,47.2,71.33,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/17/2020,36,24.4,28.7,,38.1,0,,,18.5,95.33,,9.3,58.2,74.3,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/18/2020,33,25,28.2,,33.9,0.9,,,15.8,124.05,,9.3,52.8,66.17,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",02/19/2020,35,22,27.9,,34,0,,,19.2,94.5,,9.6,31.1,56.49,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/20/2020,34,22.6,28.2,,34.3,0,,,16.4,218.16,,8.6,40.4,60.75,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/21/2020,34.7,23.5,29,,35.1,0,,,19.2,75.61,,10.3,36.8,51.8,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/22/2020,34.6,22,28.2,,33.8,0.1,,,17.3,59.5,42.5,10.2,25.1,51.54,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",02/23/2020,34.6,23,28,,33.7,0,,,18.9,71.65,,10.3,26.7,50.23,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/24/2020,34.6,22.1,28.1,,33.5,0,,,16.6,81.95,,9.7,33.8,51.31,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/25/2020,33.9,23,28.4,,33.7,0,,,18.4,178.53,,9.8,33.6,57.12,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/26/2020,35.2,24,29.1,,36.6,0,,,20.9,96.35,,9.4,35.5,58.57,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/27/2020,34.9,24,29.1,,34.9,0,,,23.1,115.83,,9.9,34.3,53.98,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",02/28/2020,35,23.4,28.5,,34.5,0,,,19.6,187.52,,10.3,24.3,53.26,Clear
"Quận 1, Hồ Chí Minh, Việt Nam",02/29/2020,34.3,24.6,28.8,,35.6,0,,,18.3,117.87,,10.3,38,57.66,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",03/01/2020,34.8,25.6,29.4,,36.5,0,,,18.9,126.96,,10.3,41.1,59.92,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",03/02/2020,35,25.9,29.5,,37,0,,,24.5,131,,10.3,39.5,60.66,Partially cloudy
