,day_from,item_from,day_to,item_to,count
0,0,2nd Generation Cephalosporin,1,3rd Generation Cephalosporin,1
1,0,2nd Generation Cephalosporin,1,Aminoglycoside,1
2,0,2nd Generation Cephalosporin,1,Fluoroquinolone,2
3,0,2nd Generation Cephalosporin,1,Oxazolidinone,2
4,0,2nd Generation Cephalosporin,1,Tetracycline,1
5,0,3rd Generation Cephalosporin,1,2nd Generation Cephalosporin,3
6,0,3rd Generation Cephalosporin,1,3rd Generation Cephalosporin,1
7,0,3rd Generation Cephalosporin,1,4th Generation Cephalosporin,2
8,0,3rd Generation Cephalosporin,1,Aminoglycoside,2
9,0,3rd Generation Cephalosporin,1,Amphenicol,2
10,0,3rd Generation Cephalosporin,1,Fluoroquinolone,2
11,0,3rd Generation Cephalosporin,1,Glycopeptide,1
12,0,3rd Generation Cephalosporin,1,Nitroimidazole,1
13,0,3rd Generation Cephalosporin,1,Penicillin,5
14,0,3rd Generation Cephalosporin,1,Penicillin and beta-lactamase inhibitor,2
15,0,3rd Generation Cephalosporin,1,Phosphonic acid,1
16,0,3rd Generation Cephalosporin,1,Sulfonamides and trimethoprim,1
17,0,4th Generation Cephalosporin,1,Penicillin,1
18,0,Aminoglycoside,1,Aminoglycoside,2
19,0,Aminoglycoside,1,Carbapenem,1
20,0,Aminoglycoside,1,Macrolide,3
21,0,Aminoglycoside,1,Monobactam,1
22,0,Aminoglycoside,1,Penicillin,3
23,0,Aminoglycoside,1,Penicillin and beta-lactamase inhibitor,3
24,0,Aminoglycoside,1,Phosphonic acid,1
25,0,Aminoglycoside,1,Sulfonamides and trimethoprim,1
26,0,Aminoglycoside+Fluoroquinolone,1,Fluoroquinolone,1
27,0,Aminoglycoside+Fluoroquinolone,1,Nitroimidazole,1
28,0,Aminoglycoside+Glycopeptide,1,Aminoglycoside,1
29,0,Aminoglycoside+Glycopeptide,1,Macrolide,1
30,0,Aminoglycoside+Penicillin and beta-lactamase inhibitor,1,3rd Generation Cephalosporin+Aminoglycoside,1
31,0,Aminoglycoside+Penicillin and beta-lactamase inhibitor,1,Glycopeptide,1
32,0,Aminoglycoside+Penicillin and beta-lactamase inhibitor,1,Oxazolidinone,1
33,0,Aminoglycoside+Penicillin and beta-lactamase inhibitor,1,Penicillin,1
34,0,Amphenicol,1,Aminoglycoside,1
35,0,Amphenicol,1,Amphenicol,1
36,0,Amphenicol,1,Fluoroquinolone,1
37,0,Amphenicol,1,Monobactam,1
38,0,Amphenicol,1,Penicillin,2
39,0,Carbapenem,1,4th Generation Cephalosporin,1
40,0,Carbapenem,1,Aminoglycoside,3
41,0,Carbapenem,1,Glycopeptide,1
