,day_from,item_from,day_to,item_to,count
0,1,amikacin,2,amikacin,1
1,1,amikacin,2,flucloxacillin,1
2,1,amoxicillin,2,amoxicillin,2
3,1,aztreonam,2,ceftazidime,1
4,1,aztreonam,2,fosfomycin,1
5,1,cefepime,2,cefepime,2
6,1,ceftriaxone,2,No Therapy,1
7,1,ceftriaxone,2,ceftriaxone,4
8,1,cefuroxime,2,aztreonam,2
9,1,cefuroxime,2,cefuroxime,1
10,1,ciprofloxacin,2,No Therapy,1
11,1,clarithromycin,2,amikacin,1
12,1,clarithromycin,2,cefepime,1
13,1,co-amoxiclav,2,amoxicillin,1
14,1,co-amoxiclav,2,"amoxicillin, co-amoxiclav, linezolid",1
15,1,co-amoxiclav,2,co-amoxiclav,2
16,1,doxycycline,2,"amoxicillin, doxycycline, linezolid",1
17,1,doxycycline,2,doxycycline,1
18,1,doxycycline,2,teicoplanin,1
19,1,erythromycin,2,flucloxacillin,1
20,1,flucloxacillin,2,doxycycline,1
21,1,flucloxacillin,2,flucloxacillin,1
22,1,fosfomycin,2,co-amoxiclav,1
23,1,fosfomycin,2,fosfomycin,1
24,1,gentamicin,2,gentamicin,1
25,1,linezolid,2,linezolid,2
26,1,linezolid,2,metronidazole,1
27,1,meropenem,2,ceftriaxone,1
28,1,meropenem,2,meropenem,3
29,1,metronidazole,2,pivmecillinam,1
30,1,pivmecillinam,2,No Therapy,2
31,1,pivmecillinam,2,"amoxicillin, linezolid, pivmecillinam",1
32,1,tazocin,2,"amoxicillin, linezolid, tazocin",1
33,1,tazocin,2,fosfomycin,1
34,1,tazocin,2,tazocin,1
35,1,temocillin,2,cefepime,1
36,1,temocillin,2,meropenem,1
37,1,vancomycin,2,"amoxicillin, linezolid, vancomycin",1
38,1,vancomycin,2,vancomycin,1
39,2,No Therapy,3,No Therapy,2
40,2,No Therapy,3,meropenem,1
41,2,amikacin,3,metronidazole,1
42,2,amikacin,3,vancomycin,1
43,2,amoxicillin,3,amoxicillin,1
44,2,"amoxicillin, co-amoxiclav, linezolid",3,co-amoxiclav,1
45,2,"amoxicillin, doxycycline, linezolid",3,doxycycline,1
46,2,"amoxicillin, linezolid, pivmecillinam",3,pivmecillinam,1
47,2,"amoxicillin, linezolid, vancomycin",3,vancomycin,1
48,2,aztreonam,3,No Therapy,1
49,2,aztreonam,3,aztreonam,1
50,2,cefepime,3,cefepime,2
51,2,cefepime,3,doxycycline,1
52,2,ceftazidime,3,ceftazidime,1
53,2,ceftriaxone,3,ceftriaxone,3
54,2,cefuroxime,3,cefuroxime,1
55,2,co-amoxiclav,3,co-amoxiclav,3
56,2,doxycycline,3,doxycycline,2
57,2,flucloxacillin,3,No Therapy,1
58,2,flucloxacillin,3,flucloxacillin,1
59,2,fosfomycin,3,fosfomycin,2
60,2,gentamicin,3,No Therapy,1
61,2,linezolid,3,No Therapy,1
62,2,linezolid,3,linezolid,1
63,2,meropenem,3,amikacin,1
